Time,"Job Id","objid",Userid,"Actor Id","Job Type Name",Actions,"decision","Escalation Queue",Event,"Impression Id","Job Extra Data","Logger Extra Data","Logger Potential Error","Object Attributes","Piranha Job Type",Policies,"Prev Queue Group Id","Prev Queue Group Name","Queue Group Id","Queue Group Name","Queue Name",Renderer,"Review Id","Review Type","Review Violation Type","Review Workflow Id","Review Workflow Name","Routing Attributes",Tags,"Thread Id","Video Container Type","Worker Type"
1555320555,1104778893041542,2132547993458889,100027615995225,100027615995225,Q_CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_lowrisk"",""obs_sexual_sidebreast_underbreast"",""comp_product_image""]}",null,job_decision_success,0Jcl5K1BskH0B6ITK,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,consistency,null,null,null,-,-,null,null,Outsource
1555320432,416809722212612,2087954624636377,100027566766650,100027566766650,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_highrisk"",""obs_sexual_impliedact"",""comp_product_image""]}",null,job_decision_success,0mbOdEmpCAdrfP1gQ,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555320429,2390049331278059,2633054880100509,100027595326086,100027595326086,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_blurredbodypart"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0ejOvAeeyFt6cJrsb,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555320282,566120030563824,1981842831907643,100027203492691,100027203492691,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_lowrisk"",""obs_sexual_licking_biting"",""comp_product_image""]}",null,job_decision_success,0gUoOAZJK4sqQPCBO,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555320197,315949602405128,2126702930711802,100027450893685,100027450893685,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0Upo5MnBaDlYEbyYH,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555320193,2061883964110259,1949267451846259,100027657122989,100027657122989,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0GW7NIkeddSxrWq3s,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555320191,308143943198953,2073294789435262,100027749433193,100027749433193,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0h90xlF9WMCHjnsmX,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555320159,1104778893041542,2132547993458889,100027934966665,100027934966665,Q_CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_lowrisk"",""obs_sexual_sidebreast_underbreast"",""comp_product_image"",""comp_product_title""]}",null,job_decision_success,0Og9KthFqZ08ekRXz,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,consistency,null,null,null,-,-,null,null,Outsource
1555319968,2296783850382644,2422464834430681,100028084237368,100028084237368,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0FaRPCaowFIwmkHte,"",allow_multiple_review:1:already_reviewed:1,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555319964,2081210215309443,1117412305049182,100026787001818,100026787001818,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_lowrisk"",""obs_sexual_sidebreast_underbreast"",""comp_product_image""]}",null,job_decision_success,0iwqTxBhpRwYFJbTH,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
