test_escalate_for_additional_review	2	[2132758763449580, 1917036865086110]
test_rep_sexual	123	[2024497454337540, 2322708117762570, 1802385749867030, 1982387095143970, 2651242758226980, 2967681656591400, 2231343443562540, 2479596785401390, 1967944329969710, 1876004122525750, 1909431795851830, 1992308924222010, 2038923419548730, 1564759186959930, 1801684136602690, 2017663435018820, 2454906324581960, 2182449948479560, 1984705968324170, 1580202285416530, 2645975565418070, 2014914141950040, 1839904702781530, 1926454304108640, 2037730369654890, 1942908779155080, 2174191442626700, 2109608549082260, 2510686522338460, 2127488080630940, 1857892994320030, 1847804538657950, 2308009475878560, 2041258022654630, 2347191648648870, 2510560342348460, 2188153804564140, 2009388249156270, 2042983322483890, 1808490379256500, 2177754825618100, 2184846434892470, 2108854089162440, 1987151051392200, 1952789658164430, 2044144929011410, 2149750008378580, 2467547396651740, 2167287313330920, 2162231467173610, 2583896284959980, 2462763950404850, 1747965421969650, 2027994213945590, 2320549857969400, 1915874385201920, 2453233578085120, 1805496339556610, 2034822456565510, 2105706382856460, 967336183390480, 2107136019354900, 2127400930651930, 2012634058800410, 2082447098510620, 2193055950716700, 2129598683782430, 2042325419156260, 2477043502336810, 2059948570757420, 2184324684978480, 2029750270414130, 2699398460100920, 2496668027074360, 2293824833975610, 2483818144981320, 2444570838917450, 2114946125240650, 2474348492594510, 2167504349978450, 2361845187167580, 2470069303066460, 2229273177154910, 1963616547084140, 2259310737493870, 2580678705307510, 2568104646537590, 2085221704899960, 2601635209852280, 2002883546496900, 972012689589642, 2144723842283920, 2240610519304080, 2035365449875870, 1938708956199840, 2309409059093920, 2011281102282660, 2029616097151910, 2448229378585510, 2150756408281000, 2070833959699370, 2088383017920430, 2465923730148270, 2295005737233840, 1922076097914290, 2041663579275190, 2988711114488250, 2060944243955130, 2759753827375040, 1967085786742210, 2487200528019400, 2523196467722190, 1035182296605650, 2343016855731160, 2231691666894300, 2007786012650470, 1975059902613480, 2033862383378410, 2451182281619440, 1963360007115250, 2216932058370550, 2086203364802040, 2005717559524350]
test_pil_sexual_focus_lowrisk	24	[2453233578085120, 1805496339556610, 2002883546496900, 2174191442626700, 2107136019354900, 2109608549082260, 2193055950716700, 2510686522338460, 2308009475878560, 2347191648648870, 2231343443562540, 1909431795851830, 2699398460100920, 1801684136602690, 2017663435018820, 2487200528019400, 1952789658164430, 2014914141950040, 2229273177154910, 1975059902613480, 2162231467173610, 2580678705307510, 2568104646537590, 2005717559524350]
test_obs_sexual_breast_focus	19	[2453233578085120, 1805496339556610, 2174191442626700, 2193055950716700, 2308009475878560, 2231343443562540, 1909431795851830, 2699398460100920, 1801684136602690, 2017663435018820, 2487200528019400, 1952789658164430, 2014914141950040, 2229273177154910, 1975059902613480, 2162231467173610, 2580678705307510, 2568104646537590, 2005717559524350]
test_obs_potential_lqec	9	[2161741073871490, 1968511169914850, 2038981526217000, 2457482350989960, 2024646634278410, 2052138308234670, 2068265239953550, 2433783093360850, 2076280479092630]
test_obs_ecomm_category_apparels	5	[2161741073871490, 1968511169914850, 2457482350989960, 2052138308234670, 2068265239953550]
obs_ecomm_brand_tier4_victoria_secret	1	[2161741073871490]
obs_ecomm_product_condition_new	7	[2161741073871490, 1968511169914850, 2038981526217000, 2457482350989960, 2052138308234670, 2068265239953550, 2433783093360850]
obs_ecomm_product_highprice_between_10_and_200000	1	[2161741073871490]
test_obs_ecomm_product_noneoftheabove	7	[2161741073871490, 1968511169914850, 2038981526217000, 2052138308234670, 2068265239953550, 2433783093360850, 2076280479092630]
