Time,"Job Id","objid","Job Type Name",Actions,"Decision","Escalation Queue",Event,"Impression Id","Job Extra Data","Logger Extra Data","Logger Potential Error","Object Attributes","Piranha Job Type",Policies,"Prev Queue Group Id","Prev Queue Group Name","Queue Group Id","Queue Group Name","Queue Name",Renderer,"Review Id","Review Type","Review Violation Type","Review Workflow Id","Review Workflow Name","Routing Attributes",Tags,"Thread Id","Video Container Type","Worker Type"
1555315027,2311431852508723,2134903513284267,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0UFFlsFjtFnhZsVTL,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555314963,2480902925275573,2112147635488498,Q_CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_highrisk"",""obs_sexual_removingclothes"",""comp_product_image""]}",null,job_decision_success,038iRgS5CFUNeWfrd,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,consistency,null,null,null,-,-,null,null,Outsource
1555314898,1311568738998917,2269328373130921,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,0wKpixPyQh8Gis3MN,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555314517,575573899617406,2317090338313995,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_seethrough"",""comp_product_image""]}",null,job_decision_success,091d6AWOL7HBSe2Qn,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555314505,371925993408435,2180783762000285,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_highrisk"",""obs_sexual_removingclothes"",""comp_product_title"",""comp_product_image""]}",null,job_decision_success,02cJKNtAAjLx1H7jB,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555314490,2480902925275573,2112147635488498,Q_CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_highrisk"",""obs_sexual_removingclothes"",""comp_product_image"",""comp_product_title""]}",null,job_decision_success,0e6qlGJU5wYhSc1bd,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,consistency,null,null,null,-,-,null,null,Outsource
1555314191,2291895104469452,2425444270801309,Q_CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_highrisk"",""obs_sexual_removingclothes"",""comp_product_image""]}",null,job_decision_success,0mxbs0EC3kwaQFdT0,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,consistency,null,null,null,-,-,null,null,"Contingent Worker"
1555314134,2301814373365215,2134903513284267,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_focus_lowrisk"",""obs_sexual_breast_focus"",""comp_product_image""]}",null,job_decision_success,0MrL0ffaeeY686khQ,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555313939,351409522144526,2779766102063336,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_action_lowrisk"",""obs_sexual_licking_biting"",""comp_product_image""]}",null,job_decision_success,0eRBFivre76BSw5iM,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
1555313814,395043587893403,2638458782890837,CROW_GENERIC_LABELING,-,"{""tags"":[""obs_sexual"",""rep_sexual"",""pil_sexual_partialnudity_highrisk"",""obs_sexual_thong_butt"",""comp_product_image""]}",null,job_decision_success,0T3T9qPvHUSjOekXt,"",allow_multiple_review:1:already_reviewed:0,-,fbtype:2288,null,-,null,null,382401612444908,BI_COMMERCE_MARKETPLACE_ENFORCEMENT,"[Commerce] [Marketplace] Proactive - Product",null,null,unknown,null,null,null,content_type:Product:locale_type:RestofWorld:repor...,-,null,null,Outsource
